feature,importance
disruption_count,0.23764154994061892
metro_count,0.10955790597556359
delayed_vehicles,0.08939673201124569
departure_count,0.08815274244553359
vehicles_per_line,0.08088946774544487
delay_per_vehicle,0.03542695503856251
hour_sin,0.035156294973846786
delay_variance,0.031463223609456824
bus_count,0.031068014869655998
avg_delay,0.025980800949208974
congestion_score_rolling_mean_6h,0.023911505541427444
max_delay,0.020570789422920163
metro_ratio,0.020511367214984873
is_morning_rush,0.01959068984701685
congestion_score_rolling_std_6h,0.017734961458712988
hour_of_day,0.01599554487153642
train_count,0.0149106409220065
congestion_score_lag1,0.012286506522391525
station_id,0.011780445386676771
active_lines,0.011654303541891353
hour_cos,0.011084007301186619
bus_ratio,0.010308558093109125
avg_delay_rolling_mean_6h,0.007200910593808963
avg_delay_rolling_std_6h,0.006080897062249937
is_any_rush,0.005605156708301669
departure_count_lag1,0.004324102334449882
avg_delay_lag1,0.004240238654351389
departure_count_lag2,0.004038563333109068
tram_count,0.0037426153147342585
congestion_score_lag2,0.0030758243583536133
avg_delay_lag2,0.002835147891326936
day_sin,0.0013673097305887643
day_of_week,0.0010564234245485176
is_month_end,0.0004252799460882201
is_evening_rush,0.00036495188958159233
day_of_month,0.0002885361621116759
day_cos,0.00028103491339709493
month_cos,0.0
quarter,0.0
week_of_year,0.0
month,0.0
month_sin,0.0
is_weekend,0.0
is_month_start,0.0
